#,单词,音标,解释,笔记
1098,"shriek","英:/ʃriːk/ 美:/ʃrik/","- vt. & vi. 尖叫
- n. 尖叫声

时 态:  
shrieked, shrieking, shrieks",
1099,"shuffle","英:/'ʃʌf(ə)l/ 美:/'ʃʌfl/","vi. 拖着脚走；把脚动来动去；坐立不安；洗牌；把……变换位置；调动；搪塞
n. 洗牌；拖着脚走，曳行；曳步舞，曳步动作；改组；慢切分节奏；随机播放装置

时 态:  
shuffled, shuffling, shuffles",
1100,"shuttlecock","英:/'ʃʌt(ə)lkɒk/ 美:/'ʃʌtl'kɑk/","n. 羽毛球

时 态:  
shuttlecocked, shuttlecocking, shuttlecocks",
1101,"sibling","英:/'sɪblɪŋ/ 美:/'sɪblɪŋ/","n. 兄弟姊妹；民族成员",
1102,"siesta","英:/sɪ'estə/ 美:/sɪ'ɛstə/","- n. （西）午睡；午休
- vi. 午睡；午休",
1103,"significant","英:/sɪg'nɪfɪk(ə)nt/ 美:/sɪɡ'nɪfɪkənt/","- adj. 重要的, 重大的, 可观的
- 有意义的, 有用意的
- 意味深长的

副 词:  
significantly",
1104,"signify","英:/'sɪgnɪfaɪ/ 美:/'sɪɡnɪfaɪ/","vt. 表示…的意思, 意味

时 态:  
signified, signifying, signifies 

形容词:  
signifiable

名 词:  
signifier",
1105,"signpost","英:/'saɪnpəʊst/ 美:/'saɪnpost/","n. 路标；指示牌",
1106,"silhouette","英:/ˌsɪlʊ'et/ 美:/ˌsɪlu'ɛt/","n. 轮廓

时 态:  
silhouetted, silhouetting, silhouettes",
1107,"silicon","英:/'sɪlɪk(ə)n/ 美:/'sɪlɪkən/","n. 〈化〉硅",
1108,"singular","英:/'sɪŋgjʊlə/ 美:/'sɪŋɡjəlɚ/","- adj. 〈语〉单数的
- 〈正〉突出的, 卓越的, 非凡的
- n. 单数形式(的词)

副 词:  
singularly",
1109,"siren","英:/'saɪr(ə)n/ 美:/'saɪrən/","- n. 汽笛, 警报器
- 迷人的女人, 妖妇",
1110,"Skate","英:/skeɪt/ 美:/sket/","- vt. & vi. 溜冰, 滑冰
- n. 溜冰鞋

时 态:  
skated, skating, skates",
1111,"ski","英:/skiː/ 美:/ski/","- n. 滑雪橇
- vi. 滑雪
- adj. 滑雪（用）的

SKIabbr. Spending the Kids' Inheritance “花掉给子女的遗产”(指那些不给子女留遗产,选择尽情享用自己劳苦半生得来的财富的五十来岁的人)
SKIabbr. Spending the Kids' Inheritance “花掉给子女的遗产”（指那些不给子女留遗产，选择尽情享用自己劳苦半生得来的财富的五十来岁的人）

名 词:  
skier",
1112,"sleeve","英:/sliːv/ 美:/sliv/","- n. 袖子，袖套；套筒，套管
- vt. 给……装袖子；给……装套筒


时 态:  
sleeved, sleeving, sleeves 

形容词:  
sleeveless",
1113,"slippage","英:/'slɪpɪdʒ/ 美:/'slɪpɪdʒ/","n. 滑动；滑移；下降",
1114,"small change","","零钱；无聊话",
1115,"smash","英:/smæʃ/ 美:/smæʃ/","- n. 破碎(声)
- 猛击；猛撞
- 大成功；极为成功的新书[新戏，电影等]
- vt. & vi. 打碎；捣烂
- vt. 重击；打败

时 态:  
smashed，smashing，smashes 

名 词:  
smasher",
1116,"smoking gun","","确凿的证据",
1117,"snack","英:/snæk/ 美:/snæk/","- n. 小吃；点心；快餐
- vi. 吃快餐；吃点心

时 态:  
snacked，snacking，snacks",
1118,"snake","英:/sneɪk/ 美:/snek/","- n. 蛇
- 阴险的人

时 态:  
snaked, snaking, snakes",
1119,"snap","英:/snæp/ 美:/snæp/","- vt. 猛咬；突然折断，拉断；啪地关上
- vi. 咬；厉声说；咯嗒一声关上
- n. 猛咬；劈啪声；突然折断
- adj. 突然的

SNAPabbr. Satellite Navigation Alert Plotter 卫星导航警戒标绘仪

时 态:  
snapped, snapping, snaps",
1120,"sneeze","英:/sniːz/ 美:/sniz/","- vi. 打喷嚏
- n. 喷嚏


时 态:  
sneezed, sneezing, sneezes 

名 词:  
sneezer

形容词:  
sneezy",
1121,"snuggle","英:/'snʌg(ə)l/ 美:/'snʌgl/","- vt. & vi. 依偎；舒适地蜷伏；紧靠；拥抱
- 温暖舒适地躺在床上
- (温暖舒适地)偎依，挨近(人或物)，蜷伏在

时 态:  
snuggled，snuggling，snuggles",
1122,"soccer","英:/'sɒkə/ 美:/'sɑkɚ/","n. 英式足球，足球",
1123,"soggy","英:/'sɒgɪ/ 美:/'sɑgi/","adj. 浸水的；透湿的；沉闷的


比较级:  
soggier, soggiest",
1124,"solemnly","英:/ˈs ɔləmlɪ/ 美:/ˈs ɑləmlɪ/","adv. 庄严地；严肃地",
1125,"souvenir","英:/ˌsuːvə'nɪə/ 美:/ˌsuvə'nɪr/","- n. 纪念品；礼物
- vt. 把…留作纪念",
1126,"spade","英:/speɪd/ 美:/sped/","- n. 铁锹，铲子
- vt. 铲；把……弄实抹平
- vi. 铲

SPADEabbr. Spare Parts Analysis,Documentation andEvaluation 备用元件分析、文件编制及评定

时 态:  
spaded, spading, spades 

名 词:  
spader",
1127,"spaghetti","英:/spə'getɪ/ 美:/spə'ɡɛti/","n. 意大利面条",
1128,"spanking","英:/'spæŋkɪŋ/ 美:/'spæŋkɪŋ/","- adj. 强烈的；疾行的，疾驰的
- n. 打屁股；拍击
- adv. 显著地
- v. 拍打；严厉斥责（spank的ing形式）",
1129,"spanner","英:/'spænə/ 美:/'spænɚ/","- n. 扳手, 扳钳
- 破坏计划；阻挠进程；从中捣乱",
1130,"spatula","英:/'spætjʊlə/ 美:/'spætʃələ/","n. [医]压舌板；（调和、涂抹用）抹刀，小铲


形容词:  
spatular",
1131,"spinach","英:/'spɪnɪdʒ/ 美:/'spɪnɪtʃ/","n. 菠菜",
1132,"sponge","英:/spʌn(d)ʒ/ 美:/spʌndʒ/","- n. 海绵
- vt. (用海绵或海绵状物)擦拭，清除
- vt. & vi. 骗取；敲詐；揩油

时 态:  
sponged，sponging，sponges",
1133,"spray","英:/spreɪ/ 美:/spre/","- n. 水沫；喷雾；喷雾器
- vt. 喷射
- vi. 喷


时 态:  
sprayed, spraying, sprays 

名 词:  
sprayer",
1134,"sprig","英:/sprɪg/ 美:/sprɪg/","- n. 小枝；图钉；[口]年青人；子孙
- vt. 用钉子钉上；用小树枝装饰；使蔓生


时 态:  
sprigged, sprigging, sprigs 

名 词:  
sprigger",
1135,"spring onion","","n. 生吃的小洋葱;葱",
1136,"squash","英:/skwɒʃ/ 美:/skwɔʃ/","- vt. 将(某人[某物])压扁，压烂，挤碎
- 将(某人[某物])向某方挤
- 粗暴地使(某人)住嘴
- 挤进
- 平定(叛乱等)；镇压；制服
- n. 拥挤的人群
- 果汁汽水
- (软式)墙网球，壁球

时 态:  
squashed，squashing，squashes",
1137,"squid","英:/skwɪd/ 美:/skwɪd/","- n. 乌贼,墨鱼
- 鱿鱼",
1138,"Squirrel","英:/'skwɪr(ə)l/ 美:/'skwɝəl/","- n. 松鼠；松鼠毛皮
- vt. 贮藏


时 态:  
squirreled, squirrelled 
squirreling, squirrelling 
squirrels, squirrels",
1139,"staging","英:/'steɪdʒɪŋ/ 美:/'stedʒɪŋ/","- n. 分段运输；脚手架；上演；乘驿马车的旅行
- v. 表演；展现；分阶段进行；筹划（stage的ing形式）",
1140,"stakeholder","英:/ˈsteikhəuldə/ 美:/'stekholdɚ/","n. 赌金保管者",
1141,"stammer","英:/'stæmə/ 美:/'stæmɚ/","- vi. 口吃；结结巴巴地说
- vt. 口吃；结巴着说出
- n. 口吃；结巴


时 态:  
stammered, stammering, stammers 

名 词:  
stammerer",
1142,"stationery","英:/'steɪʃ(ə)n(ə)rɪ/ 美:/'steʃənɛri/","- n. 文具
- 信纸",
1143,"statistic","英:/stə'tɪstɪk/ 美:/stə'tɪstɪk/","- n. 统计量
- adj. 统计的,统计学的",
1144,"stethoscope","英:/'steθəskəʊp/ 美:/'stɛθəskop/","n. 听诊器

形容词:  
stethoscopic

名 词:  
stethoscopy",
1145,"stew","英:/stjuː/ 美:/stu/","- vt. 炖，炖汤；焖；忧虑；受闷热
- n. 炖，炖汤；烦恼；闷热；鱼塘
- vi. 炖，炖汤；受闷热；忧虑；焖


时 态:  
stewed, stewing, stews",
1146,"stiff","英:/stɪf/ 美:/stɪf/","- adj. 严厉的；呆板的；坚硬的；拘谨的；艰难的
- adv. 彻底地；僵硬地
- n. [俚]死尸；令人讨厌者；流通票据；劳动者
- vt. 亏待侍者等
- vi. 在商业上惨败


比较级:  
stiffer, stiffest 

形容词:  
stiffish

副 词:  
stiffly

名 词:  
stiffness",
1147,"stingy","英:/'stɪn(d)ʒɪ/ 美:/'stɪndʒi/","adj. 小气的,吝啬的

比较级:  
stingier, stingiest 

副 词:  
stingily

名 词:  
stinginess",
1148,"stove","英:/stəʊv/ 美:/stov/","- n. 火炉；窑；温室
- vt. 用火炉烤",
1149,"strap","英:/stræp/ 美:/stræp/","- vt. 用带捆绑；用皮条抽打；约束
- n. 皮带；带；磨刀皮带；鞭打
- vi. 精力旺盛地工作；受束缚


时 态:  
strapped, strapping, straps",
1150,"striker","英:/ˈstraɪkə/ 美:/'straɪkɚ/","n. 罢工者；打击者；撞针；钟锤；叉鱼的人",
1151,"stroke","英:/strəʊk/ 美:/strok/","- n. 一击
- 一画，一笔
- (游泳或划船的)划，划法；游法
- 钟的敲声
- 中风
- 轻抚
- vt. 轻抚，抚摸

时 态:  
stroked，stroking，strokes 

名 词:  
stroker",
1152,"Stroller","英:/'strəʊlə/ 美:/'strolɚ/","n. 散步者；流浪者；（美）折叠式婴儿车；巡回演出的演员",
1153,"subtle","英:/'sʌt(ə)l/ 美:/'sʌtl/","- adj. 微妙的；难以捉摸的；细微的
- 狡猾的，狡诈的
- 敏感的，敏锐的，有辨别力的

比较级:  
subtler，subtlest 

副 词:  
subtly",
1154,"sulky","英:/'sʌlkɪ/ 美:/'sʌlki/","adj. 愠怒的，绷着脸的，生闷气的；不搭理人的

比较级:  
sulkier，sulkiest 

副 词:  
sulkily

名 词:  
sulkiness",
1155,"superstitous","","adj. 迷信的",
1156,"supervisor","英:/ˈsuːpəˌvaɪzə/ 美:/ˈsupərˌvaɪzər/","n. 监督者, 管理者

形容词:  
supervisory",
1157,"surge","英:/sɜːdʒ/ 美:/sɜːrdʒ/","- n. (感情等)洋溢, 奔放
- 浪涛般汹涌奔腾
- vi. (人群等)蜂拥而出
- (感情等)洋溢, 奔放
- (波涛等)汹涌, 奔腾

时 态:  
surged, surging, surges",
1158,"surrender","英:/sə'rendə/ 美:/sə'rɛndɚ/","- vt. & vi. 投降
- vt. 放弃；抛弃
- n. 投降，放弃

时 态:  
surrendered，surrendering，surrenders",
1159,"suspended","/sə'spendid/","adj. 暂停的，缓期的(宣判)；悬浮的",
1160,"swallows","/'swɔləu/","- n. 燕子；咽喉（swallow的复数）
- v. 吞下；吞没；忍受（swallow的三单形式）",
1161,"swan","英:/swɒn/ 美:/swɑn/","- n. 天鹅；天鹅星座
- vi. 游荡，闲荡


时 态:  
swanned, swanning, swans",
1162,"sweep","英:/swiːp/ 美:/swip/","- vt. 扫除；猛拉；掸去
- vi. 扫，打扫；席卷；扫视；袭击
- n. 打扫，扫除；范围；全胜


时 态:  
swept 
sweeping, sweeps 

名 词:  
sweeper",
1163,"swimming trunks","","泳裤",
1164,"swish","英:/swɪʃ/ 美:/swɪʃ/","- vt. 鞭打；使作沙沙声
- adj. （主英）时髦的；漂亮的；（美俚）搞同性恋的
- vi. 嗖地挥动；发嗖嗖声
- n. 嗖嗖声；漂亮；搞同性恋的男子

Swish此版本支持声音的处理，支持gif，png格式的导入。

时 态:  
swished, swishing, swishes",
1165,"syllable","英:/'sɪləb(ə)l/ 美:/'sɪləbl/","n. 音节

时 态:  
syllabled, syllabling, syllables",
1166,"syllabus","英:/'sɪləbəs/ 美:/'sɪləbəs/","n. 教学大纲，摘要；课程表",
1167,"sympathize","英:/ˈsimpəθaiz/ 美:/'sɪmpə'θaɪz/","vi. 同情, 支持

时 态:  
sympathized, sympathizing, sympathizes 

名 词:  
sympathizer",
1168,"synonym","英:/'sɪnənɪm/ 美:/'sɪnənɪm/","n. 同义词

名 词:  
synonymity",
1169,"synthetic","英:/sɪn'θetɪk/ 美:/sɪn'θɛtɪk/","- adj. 合成的，人造的
- 〈口〉假的，非天然的；虚伪的
- n. 合成物，合成纤维

副 词:  
synthetically",
1170,"syrup","英:/'sɪrəp/ 美:/'sɪrəp/","- n. 糖浆; 糖汁
- 糖浆类药品",
1171,"tacky","英:/'tækɪ/ 美:/'tæki/","adj. 俗气的；发黏的；缺乏教养或风度的


比较级:  
tackier, tackiest",
1172,"taint","英:/teɪnt/ 美:/tent/","- vt. 污染；腐蚀；使感染
- n. 污点；感染
- vi. 败坏；被污染


时 态:  
tainted, tainting, taints 

形容词:  
taintless",
1173,"tan","英:/tæn/ 美:/tæn/","- n. 黄褐色, 棕黄色
- vt. & vi. (使)晒成棕褐色
- vt. 硝制(皮革)
TANabbr. total ammonia nitrogen 总氨氮

时 态:  
tanned, tanning, tans 

形容词:  
tannish",
1174,"tendon","英:/'tendən/ 美:/'tɛndən/","n. 腱",
1175,"ternip","","n. 白萝卜",
1176,"terrace","英:/'terəs/ 美:/'tɛrəs/","- n. 梯田；阳台；平台
- vt. 使成梯田，使成阶地；使有平台屋顶
- vi. 成阶地；成梯田；筑成坛
- adj. （女服）叠层式的


时 态:  
terraced, terracing, terraces",
1177,"tertiary","英:/'tɜːʃ(ə)rɪ/ 美:/'tɝʃɪ'ɛri/","- n. 第三纪；第三修道会会员；第三级教士
- adj. 第三的；第三位的；三代的",
1178,"test","英:/test/ 美:/test/","- n. 检验；试验
- vt. 测试；试验
- vi. 测试；试验


时 态:  
tested, testing, tests 

名 词:  
testability

形容词:  
testable",
1179,"Theoretically","/θiə'retikəli/","- adv. 在理论上;从理论上说
- 按道理讲",
1180,"thermostat","英:/'θɜːməstæt/ 美:/'θɝməstæt/","n. 恒温(调节)器

形容词:  
thermostatic",
1181,"thesaurus","英:/θɪ'sɔːrəs/ 美:/θɪ'sɔrəs/","- n. 同义词词典，类属词典
- 百科全书；汇编，文选
- 宝库，仓库",
1182,"thimble","英:/'θɪmb(ə)l/ 美:/'θɪmbl/","n. 嵌环；顶针；套管",
1183,"thirsty","英:/'θɜːstɪ/ 美:/'θɝsti/","- adj. 口渴的
- 渴望[求]…的

比较级:  
thirstier, thirstiest 

副 词:  
thirstily",
1184,"thrifty","英:/'θrɪftɪ/ 美:/'θrɪfti/","adj. 节约的；茂盛的；成功的


比较级:  
triftier, triftiest 

副 词:  
thriftily

名 词:  
thriftiness",
1185,"tibia","英:/'tɪbɪə/ 美:/'tɪbɪə/","- n. 胫骨
- 胫节

形容词:  
tibial",
1186,"tolerant","英:/'tɒl(ə)r(ə)nt/ 美:/'tɑlərənt/","adj. 容忍的；宽容的；有耐药力的",
1187,"toll","英:/təʊl/ 美:/tol/","- vt. 征收；敲钟
- n. 通行费；代价；钟声
- vi. 鸣钟；征税


时 态:  
tolled, tolling, tolls",
1188,"tornado","英:/tɔː'neɪdəʊ/ 美:/tɔr'nedo/","n. 旋风；龙卷风；大雷雨；暴风


形容词:  
tornadic",
1189,"toxic","英:/'tɒksɪk/ 美:/'tɑksɪk/","adj. 有毒的；因中毒引起的",
1190,"tragic","英:/'trædʒɪk/ 美:/'trædʒɪk/","adj. 悲剧的；悲痛的，不幸的",
1191,"trailing","/'treiliŋ/","- n. 泥浆彩饰
- adj. 拖尾的,曳尾的,被拖动的,蔓延的",
1192,"transitive","英:/'trænsɪtɪv/ 美:/'trænsətɪv/","- adj. (指动词)及物的
- 过渡的；转变的
- 可递的，可迁的
- n. 及物动词

副 词:  
transitively",
1193,"translate","英:/træns'leɪt/ 美:/træns'let/","vt. & vi. 翻译；解释；转化

时 态:  
translated，translating，translates 

形容词:  
translatable",
1194,"trial","英:/'traɪəl/ 美:/'traɪəl/","- n. 试验；磨炼；审讯；努力
- adj. 审讯的；试验的",
1195,"trickster","英:/'trɪkstə/ 美:/'trɪkstɚ/","n. 骗子, 无赖",
1196,"trivia","英:/'trɪvɪə/ 美:/'trɪvɪə/","n. 琐事",
1197,"tropic","英:/'trɔpik/ 美:/ˈtrɑpɪk/","- n. 回归线
- 热带, 热带地方",
1198,"trowel","英:/'traʊəl/ 美:/'traʊəl/","- n. （砌砖用的）泥刀；（抹灰用的）抹子；（园艺用的）泥铲
- vt. 用抹子涂抹；用小泥铲挖


时 态:  
troweled, trowelled 
troweling, trowelling 
trowels, trowels",
1199,"truant","英:/'truːənt/ 美:/ˈtruənt/","- n. 旷课者；懒惰的人
- adj. 偷懒的；旷课的
- vi. 偷懒，逃避责任；逃学


时 态:  
truanted, truanting, truants",
1200,"tuberculosis","英:/tjʊ,bɜːkjʊ'ləʊsɪs/ 美:/tʊ'bɝkjə'losɪs/","n. 肺结核",
1201,"turf","英:/tɜːf/ 美:/tɝf/","- n. 泥炭；草皮；跑马场
- vt. 覆草皮于


形容词:  
turfy",
1202,"Turkey","英:/'tɜːkɪ/ 美:/'tɝki/","n. 火鸡；失败之作；笨蛋

Turkeyn. 土耳其",
1203,"turnip","英:/'tɜːnɪp/ 美:/'tɝnɪp/","n. 芜菁甘蓝，大头菜；萝卜",
1204,"twirl","英:/twɜːl/ 美:/twɝl/","- vt. & vi. (使)快速转动；(使)快速旋转
- 扭动；卷曲
- 投(球)
- n. 旋转；转动；捻弄
- 旋转的东西；螺旋形的东西

时 态:  
twirled，twirling，twirls 

名 词:  
twirler",
1205,"unbiased","英:/ʌn'baɪəst/ 美:/ʌn'baɪəst/","adj. 无偏见的；公正的


名 词:  
unbiasedness",
1206,"unveil","英:/ʌn'veɪl/ 美:/ˌʌn'vel/","- vt. 揭去…的面罩，除去…的遮盖物
- 使公之于众；揭露
- vi. 除去面纱(或覆盖物)；揭幕
- 揭露出来

时 态:  
unveiled，unveiling，unveils",
1207,"upbeat","英:/'ʌpbiːt/ 美:/'ʌpbit/","- n. 兴旺；上升；弱拍
- adj. 乐观的；上升的",
1208,"uplifting","英:/ʌp'liftiŋ/ 美:/ ʌpˈlɪftɪŋ/","adj. 令人振奋的;使人开心的",
1209,"Uranus","英:/ˈjʊərənəs/ 美:/ˈjʊrənəs/","n. 天王星",
1210,"utility","英:/juː'tɪlɪtɪ/ 美:/ju'tɪləti/","- n. 功用, 效用
- 公用事业",
1211,"utterly","英:/'ʌtəli/ 美:/ˈʌtəli/","adv. 全然;完全地;彻底地",
1212,"vacuum cleaner","","吸尘器；真空吸尘器；真空清洁器",
1213,"vagina","英:/və'dʒaɪnə/ 美:/və'dʒaɪnə/","n. 阴道；[植]叶鞘；[植]鞘

Vagina阴道",
1214,"varnish","英:/'vɑːnɪʃ/ 美:/'vɑrnɪʃ/","- n. 虚饰；光泽面；亮光漆，清漆
- vt. 装饰，粉饰；在…上涂清漆；使…有光泽


时 态:  
varnished, varnishing, varnishes",
1215,"vegetarian","英:/vedʒɪ'teərɪən/ 美:/'vɛdʒə'tɛrɪən/","- n. 吃素的人；素食者；素食主义者
- 食草动物
- adj. 素食者的
- 只有蔬菜的",
1216,"ventilation","英:/ˌventɪ'leɪʃ(ə)n/ 美:/ˌvɛntl'eʃən/","- n. 空气流通
- 通风设备;通风方法",
1217,"versus","英:/'vɜːsəs/ 美:/'vɝsəs/","prep. 对；与...相对；对抗",
1218,"vertebrate","英:/'vɜːtɪbrət/ 美:/'vɝtɪbrət/","- n. 脊椎动物
- adj. 有脊椎的;脊椎动物的",
1219,"vet","英:/vet/ 美:/vɛt/","- vt. 诊疗；审查
- vi. 作兽医；诊疗
- n. 兽医


时 态:  
vetted, vetting, vets",
1220,"vinegar","英:/'vɪnɪgə/ 美:/'vɪnɪɡɚ/","n. 醋",
1221,"violate","英:/'vaɪəleɪt/ 美:/'vaɪəlet/","- vt. 违反, 违背
- 亵渎
- 侵犯, 妨碍

时 态:  
violated, violating, violates 

形容词:  
violative

名 词:  
violator",
1222,"volcano","英:/vɒl'keɪnəʊ/ 美:/vɑːlˈkeɪnoʊ/","n. 火山",
1223,"voluntary","英:/'vɒlənt(ə)rɪ/ 美:/'vɑləntɛri/","- adj. 自愿的, 志愿的
- 义务的, 无偿的

副 词:  
voluntarily

名 词:  
voluntariness",
1224,"vomit","英:/'vɒmɪt/ 美:/'vɑmɪt/","- vt. 吐出；使……呕吐
- vi. 呕吐；吐出
- n. 呕吐；呕吐物；催吐剂


时 态:  
vomited, vomiting, vomits 

名 词:  
vomiter",
1225,"vowel","英:/'vaʊəl/ 美:/'vaʊəl/","- n. 元音；母音
- adj. 元音的",
1226,"waning","英:/'weɪnɪŋ/ 美:/wen/","- n. 减弱，月亏
- adj. 渐亏的，逐渐减弱或变小的",
1227,"water dispenser","","",
1228,"whilst","英:/waɪlst/ 美:/hwaɪlst/","conj. 时时,同时",
1229,"wife","英:/waɪf/ 美:/waɪf/","n. 妻子，已婚妇女；夫人


名 词:  
wifehood",
1230,"wildcard","/'waɪldkɑrd/","n. [计]通配符",
1231,"willpower","英:/'wɪlpaʊə/ 美:/'wɪl,paʊɚ/","n. 意志力, 克制力",
1232,"wind chimes","","wind chimes UK  [ˈwɪnd ˌtʃaɪmz] US  noun [plural]
  a decoration that you hang outside, with parts that move in the wind to make a pleasant sound 

      Thesaurus: decoration and decorationssynonym",
1233,"Withdraw","英:/wɪð'drɔː/ 美:/wɪð'drɔ/","- vt. & vi. 取[收]回
- (使)撤退[出]

时 态:  
withdrew 
withdrawn 
withdrawing, withdraws 

形容词:  
withdrawable

名 词:  
withdrawer",
1234,"wittingly","英:/'wɪtɪŋlɪ/ 美:/'wɪtɪŋli/","adv. 有意地,存心地",
1235,"work out","","vt. &vi. 可以解决, 设计出, 作出, 计算出, 消耗完",
1236,"wrench","英:/ren(t)ʃ/ 美:/rɛntʃ/","- vt. (猛力地)扭，拧，扳
- 扭伤，挫伤(身体的关节)
- 使感到痛苦，使难过；使悲痛
- n. 一拧；一扳；猛扭，猛拉
- (身体关节的)扭伤
- (尤指离别的)悲痛，痛苦

时 态:  
wrenched，wrenching，wrenches",
1237,"wrenches","/rentʃ/","- n. 扳手（wrench的复数）
- v. 猛扭；歪曲；使痛苦（wrench的三单形式）",
1238,"yak","英:/jæk/ 美:/jæk/","- n. 牦牛
- 笑话
- vi. 没完没了地谈些无关要紧的事；喋喋不休，唠叨

时 态:  
yakkedalso yacked 
yakkingyacking 
yaksyacks",
1239,"yolk","英:/jəʊk/ 美:/jok/","n. 蛋黄；[生]卵黄；羊毛脂


形容词:  
yolky",
1240,"稻草人","","dào cǎo rén 
 

- a Jack of straw
- scarecrow
- a man of straw
- jackstraw
- man of straw",
1241,"发达国家","","fā dá guó jiā 
 developed country",
1242,"发烧","","fā shāo 
 have a fever, have a temperature, fever, flush",
1243,"翻译","","fān yì 
 

- translate
- interpret",
1244,"分页","","fèn yè 
 pagination",
1245,"光标","","guāng biāo 
 cursor",
1246,"流星雨","","liú xīng yǔ 
 meteor shower, star shower",
1247,"棉被","","mián bèi 
 
a quilt with cotton wadding",
1248,"敏感","","mǐn gǎn 
 

- sensitive
- susceptible
- tactful",
1249,"企鹅","","qǐ é 
 

- penguin
- penuins
- rookery",
1250,"起飞","","qǐ fēi 
 flying-off, take off, take wing, takeoff",
1251,"少数民族","","shǎo shù mín zú 
 

- minority
- national minority",
1252,"赦免","","shè miǎn 
 

- remit (a punishment)
- pardon
- absolve
- excuse",
1253,"误差","","wù chà 
 
error",
1254,"座椅","","zuò yǐ 
 
seat",
